expression<br>english meaning, nepali expression<br> pronunciation
"先生<br>teacher, professor; master; doctor",शिक्षक; गुरु<br>shikshak; guru
"洗濯<br>washing, laundry",कपडा धुने<br>kapada dhune
"全部<br>all, entire, whole",सबै<br>sabai
"そう; そうです<br>yes; appears, to be the case",हो; यस्तो छ<br>ho; yasto chha
"掃除<br>cleaning, sweeping",सफाइ<br>safai
"そうして; そして<br>and, like that",अनि; त्यसपछि<br>ani; tyaspachhi
"そこ<br>that place, there; bottom, sole",त्यहाँ<br>tyahaan
そちら<br>over there,त्यतातिर<br>tyatatira
そっち<br>over there,त्यता<br>tyata
"外<br>outside, exterior",बाहिर<br>bahira
その<br>that,त्यो<br>tyo
"そば<br>near, close, beside; Japanese traditional buckwheat noodle",नजिक; सोबा<br>najik; soba
空<br>sky,आकाश<br>aakash
それ<br>that one,त्यो<br>tyo
"それから<br>and then, after that",त्यसपछि<br>tyaspachhi
"それでは<br>in that situation, well then...",त्यसोभए<br>tyasobhaye
～台<br>counter for vehicles; machines,वटा<br>wata
大学<br>college; university,विश्वविद्यालय<br>bishwabidyalaya
大使館<br>embassy,दूतावास<br>dutawas
大丈夫<br>It's ok (all right); No need to worry; Everything is under control,ठीक छ<br>thik chha
"大好き<br>very like-able, like very much",धेरै मन पर्ने<br>dherai man parne
大切<br>important,महत्त्वपूर्ण<br>mahatwapurna
台所<br>kitchen,भान्सा<br>bhansa
"大変<br>very; difficult, hard",धेरै; कठिन<br>dherai; kathin
"高い<br>tall, high; expensive",अग्लो; महँगो<br>aglo; mahango
"～だけ<br>only ~, just ~, as ~",मात्र<br>matra
"沢山<br>many, much",धेरै<br>dherai
タクシー<br>taxi,ट्याक्सी<br>taxi
出す<br>to take (something) out; to hand in (something),निकाल्नु; बुझाउनु<br>nikalnu; bujhaunu
～たち<br>plural suffix,-हरू<br>-haru
立つ<br>to stand up,उभिनु<br>ubhinu
"たて<br>length, height",लम्बाइ<br>lambai
建物<br>building,भवन<br>bhawan
"楽しい<br>enjoyable, fun",रमाइलो<br>ramailo
"頼む<br>to request, to ask (a favor)",अनुरोध गर्नु<br>anurodh garnu
"たばこ<br>tobacco, cigarettes",चुरोट<br>churot
"多分<br>perhaps, probably, maybe",सायद<br>sayad
食べ物<br>food,खाना<br>khana
食べる<br>to eat,खानु<br>khanu
卵<br>egg,अण्डा<br>anda
誰<br>who,को<br>ko
誰か<br>someone,कोही<br>kohi
誕生日<br>birthday,जन्मदिन<br>janmadin
"段々<br>gradually, by degrees",बिस्तारै<br>bistarai
"小さい<br>small, little",सानो<br>sano
"小さな<br>small, little",सानो<br>sano
"近い<br>near, close by, short",नजिक<br>najik
違う<br>to be different; to differ; wrong,फरक; गलत<br>farak; galat
近く<br>nearby; in the neighborhood,नजिकै<br>najikai
"地下鉄<br>underground train, subway",मेट्रो<br>metro
地図<br>a map,नक्सा<br>naksha
父<br>(my) father,बुबा<br>buwa
茶色<br>brown,खैरो<br>khairo
茶碗<br>rice bowl,भातको कचौरा<br>bhatko kachaura
"丁度<br>just, right, exactly",ठ्याक्कै<br>thyakkain
"ちょっと<br>a little, somewhat; just a little, somewhat",अलिकति<br>alikati
使う<br>to use,प्रयोग गर्नु<br>prayog garnu
疲れる<br>to get (become) tired; to become fatigued,थकित हुनु<br>thakit hunu
次<br>next,अर्को<br>arko
"着く<br>to arrive at, to reach",पुग्नु<br>pugnu
机<br>desk,टेबल<br>table
"作る<br>to make, to create",बनाउनु<br>banaunu
"つける<br>to turn on (e.g., a light); to take",बाल्नु; लगाउनु<br>balnu; lagaunu
勤める<br>to work (for),काम गर्नु<br>kaam garnu
"つまらない<br>boring, dull; insignificant",बोरिंग<br>boring
"冷たい<br>cold (things, people)",चिसो<br>chiso
"強い<br>strong, powerful",बलियो<br>baliyo
手<br>hand,हात<br>haat
テープ<br>tape,टेप<br>tape
テープレコーダー<br>tape recorder,टेप रेकर्डर<br>tape recorder
テーブル<br>table,टेबल<br>table
出かける<br>to go out; to depart,बाहिर जानु<br>bahira jaanu
手紙<br>letter,चिठी<br>chithi
できる<br>to be able to (to accomplish),सक्नु<br>saknu
出口<br>an exit,निकास<br>nikas
テスト<br>test,परीक्षा<br>pariksha
"では<br>then, well, so",त्यसो भए<br>tyaso bhaye
デパート<br>(abbr.) department store,डिपार्टमेन्ट स्टोर<br>department store
"でも<br>but, however",तर<br>tara
"出る<br>to appear, to leave",निस्कनु<br>niskanu
"テレビ<br>television, TV",टेलिभिजन<br>television
天気<br>weather,मौसम<br>mausam
"電気<br>electricity, (electric) light",बिजुली<br>bijuli
電車<br>electric train,रेल<br>rail
電話<br>a telephone,फोन; टेलिफोन<br>phone; telephone
戸<br>door (Japanese style),ढोका<br>dhoka
～度<br>counter for occurrences; ~ degree; ~ point,पटक; डिग्री<br>patak; degree
ドア<br>door (Western style),ढोका<br>dhoka
トイレ<br>bathroom; toilet,शौचालय<br>shauchalaya
"どう<br>how, in what way",कसरी<br>kasari
"どうして<br>why, for what reason",किन<br>kina
"どうぞ<br>please, kindly, by all means",कृपया<br>kripaya
動物<br>animal,जनावर<br>janawar
どうも<br>Thank you; somehow; no matter how hard one may try,धन्यवाद; कसरी पनि<br>dhanyabad; kasari pani
"遠い<br>far (away), distant",टाढा<br>tadha
十日<br>ten days; tenth day of the month,दश दिन; दश गते<br>dash din; dash gate
時々<br>sometimes,कहिलेकाहीं<br>kahilekaheen
時計<br>a watch; a clock,घडी<br>ghadi
"どこ<br>where, what place",कहाँ<br>kahaan
所<br>place,ठाउँ<br>thaaun
"年<br>year, age",वर्ष; उमेर<br>barsha; umer
図書館<br>library,पुस्तकालय<br>pustakalaya
どちら<br>which (one) (way); where (polite),कुन; कता<br>kun; kata
"どっち<br>which one, which way",कुन; कता<br>kun; kata
"とても<br>very (much), greatly, exceedingly",धेरै<br>dherai
どなた<br>who,को<br>ko
"隣<br>next to, next door to",छिमेकी<br>chhimeki
どの<br>which,कुन<br>kun
"飛ぶ<br>to fly, to hop",उड्नु<br>udnu
止まる<br>to come to a halt,रोकिनु<br>rokinu
友達<br>friend,साथी<br>sathi
土曜日<br>Saturday,शनिबार<br>shanibar
"鳥<br>chicken (lit., bird)",चरा<br>chara
鶏肉<br>chicken meat,कुखुराको मासु<br>kukhurako masu
取る<br>to take (a class); to get (a grade),लिनु<br>linu
"撮る<br>to take (a photo), to make (a film)",खिच्नु<br>khichnu
どれ<br>which one,कुन<br>kun
"どんな<br>what, what kind of",कस्तो<br>kasto
"ない<br>there isn't, doesn't have",छैन<br>chhaina
ナイフ<br>knife,चक्कु<br>chakku
"中<br>inside, middle, among",भित्र; बीच<br>bhitra; bich
"長い<br>long, lengthy",लामो<br>lamo
鳴く<br>to make sound (animal),बोल्नु (जनावर)<br>bolnu (janawar)
無くす<br>to lose something,हराउनु<br>haraunu
なぜ<br>why (same as どうして),किन<br>kina
夏<br>summer,गर्मी<br>garmi
夏休み<br>summer vacation,गर्मीको बिदा<br>garmiko bida
～など<br>et cetera,आदि<br>aadi
七つ<br>seven things,सात वटा<br>saat wata
何<br>what,के<br>ke
七日<br>seven days; seventh day (of the month),सात दिन; सात गते<br>saat din; saat gate
名前<br>name,नाम<br>naam
習う<br>to learn,सिक्नु<br>siknu
"並ぶ<br>to line up, to stand in a line (v.i.)",लाइनमा उभिनु<br>line ma ubhinu
並べる<br>to put (things) side by side; to line up,मिलाउनु<br>milaunu
なる<br>to become,हुनु<br>hunu
何～<br>what sort of ~,कस्तो<br>kasto
二<br>two,दुई<br>dui
"にぎやか<br>bustling, busy",हलचल भरिएको<br>halchal bhariyeko
肉<br>meat,मासु<br>masu
西<br>west,पश्चिम<br>paschim
"～日<br>~ day of the month, for ~ days",गते; दिन<br>gate; din
日曜日<br>Sunday,आइतबार<br>aitabar
荷物<br>luggage; baggage,सामान<br>saman
ニュース<br>news,समाचार<br>samachar
庭<br>garden,बगैंचा<br>bagaincha
脱ぐ<br>to take off (clothes),फुकाल्नु<br>phukalnu
温い<br>lukewarm,मनासिब तातो<br>manasib tato
"ネクタイ<br>tie, necktie",टाई<br>tie
猫<br>cat,बिरालो<br>biralo
寝る<br>to sleep; to go to sleep; to go to bed,सुत्नु<br>sutnu
～年<br>~ years,वर्ष<br>barsha
ノート<br>notebook,कापी<br>kapi
登る<br>to climb,चढ्नु<br>chadhnu
"飲み物<br>drink, beverage",पिउने कुरा<br>piune kura
飲む<br>to drink,पिउनु<br>piunu
"乗る<br>to get on, to ride in, to board",चढ्नु<br>chadhnu
歯<br>tooth,दाँत<br>daat
パーティー<br>a party,पार्टी<br>party
はい<br>yes,हो<br>ho
～杯<br>counter for cupfuls,कप<br>cup
灰皿<br>ashtray,खरानीदानी<br>kharanidani
"入る<br>to enter, to contain, to hold",पस्नु<br>pasnu
葉書<br>postcard,पोस्टकार्ड<br>postcard
はく<br>to put on (items below your waist),लगाउनु<br>lagaunu
箱<br>box,बाकस<br>bakas
橋<br>bridge,पुल<br>pul
箸<br>chopsticks,चपस्टिक<br>chopstick
始まる<br>(something) begins,सुरु हुनु<br>suru hunu
"初め; 始め<br>beginning, start",सुरुवात<br>suruwat
初めて<br>for the first time,पहिलो पटक<br>pahilo patak
走る<br>to run,दौडनु<br>daudnu
バス<br>bus; bath; bass,बस<br>bus
バター<br>butter,मख्खन<br>makkhan
二十歳<br>20 years old,बीस वर्ष<br>bis barsha
働く<br>to work,काम गर्नु<br>kaam garnu
八<br>eight,आठ<br>aath
"二十日<br>twenty days, twentieth (day of the month)",बीस दिन; बीस गते<br>bis din; bis gate
花<br>flower,फूल<br>phul
鼻<br>nose,नाक<br>nak
"話<br>talk (chat), story",कुरा; कथा<br>kura; katha
話す<br>to speak,बोल्नु<br>bolnu
母<br>(my) mother,आमा<br>aama
早い<br>early,चाँडो<br>chando
"速い<br>fast, quick",छिटो<br>chhito
春<br>spring,वसन्त ऋतु<br>basanta ritu
貼る<br>to post; to paste; to attach,टाँस्नु<br>taasnu
晴れ<br>clear (sunny) weather,खुला मौसम<br>khula mausam
晴れる<br>to be sunny,घाम लाग्नु<br>gham lagnu
"半<br>half (e.g., にじはん | half-past two)",आधा<br>aadha
晩<br>evening,साँझ<br>saanjh
～番<br>~st; ~th best,नम्बर<br>number
パン<br>bread,रोटी; पाउरोटी<br>roti; pauroti
ハンカチ<br>handkerchief,रुमाल<br>rumal
"番号<br>number, series of digits",नम्बर<br>number
"晩御飯<br>dinner, evening meal",बेलुकाको खाना<br>belukako khana
半分<br>half,आधा<br>aadha
東<br>east,पूर्व<br>purba
～匹<br>counter for small animals,वटा<br>wata
"引く<br>to pull, to draw; subtract",तान्नु<br>tannu
弾く<br>to play (a string instrument or piano),बजाउनु<br>bajaunu
"低い<br>short, low",होचो<br>hocho
飛行機<br>airplane,हवाइजहाज<br>hawaijahaj
左<br>left hand side,बायाँ<br>bayaan
"人<br>man, person",मान्छे<br>manchhe
一つ<br>one thing,एउटा<br>euta
一月<br>one month,एक महिना<br>ek mahina
一人<br>one person,एक जना<br>ek jana
"暇<br>free time, leisure",खाली समय<br>khali samaya
百<br>hundred,सय<br>saya
病院<br>hospital,अस्पताल<br>aspatal
病気<br>illness; sickness,रोग; बिरामी<br>rog; birami
平仮名<br>hiragana,हिरागाना<br>hiragana
"昼<br>noon, daytime",दिउँसो<br>diunso
"昼御飯<br>lunch, midday meal",दिउँसोको खाना<br>diunsoko khana
広い<br>spacious; wide; broad,फराकिलो<br>pharakilo
フィルム<br>film (roll of),फिल्म<br>film
封筒<br>envelope,खाम<br>kham
プール<br>swimming pool,पौडी पोखरी<br>paudi pokhari
フォーク<br>fork,काँटा<br>kaanta
"吹く<br>to blow (wind, etc.)",बताउनु<br>bataunu
服<br>clothes,लुगा<br>luga
二つ<br>two things,दुई वटा<br>dui wata
豚肉<br>pork,सुँगुरको मासु<br>sungurko masu
二人<br>two people,दुई जना<br>dui jana
二日<br>two days; second day of the month,दुई दिन; दुई गते<br>dui din; dui gate
"太い<br>fat, thick",मोटो<br>moto
冬<br>winter,जाडो; हिउँद<br>jado; hiund
"降る<br>to precipitate, to fall (e.g., rain, snow, etc.)",पर्नु<br>parnu
"古い<br>old (in reference to objects, not people), aged, ancient",पुरानो<br>purano
～分<br>~ minutes,मिनेट<br>minute
"文章<br>sentence, text",वाक्य<br>bakya
ページ<br>a page,पृष्ठ<br>pristha
"下手<br>unskillful, poor",कमजोर<br>kamjor
ベッド<br>bed,खाट<br>khat
ペット<br>pet,पाल्तु जनावर<br>paltu janawar
部屋<br>a room,कोठा<br>kotha
"辺<br>area, vicinity",क्षेत्र<br>kshetra
ペン<br>pen,कलम<br>kalam
勉強<br>study,अध्ययन; पढाइ<br>adhyayan; padhai
"便利<br>convenient, handy",सजिलो<br>sajilo
帽子<br>hat; cap,टोपी<br>topi
ボールペン<br>ball-point pen,बल पेन<br>ball pen
ポケット<br>pocket,खल्ती<br>khalti
"欲しい<br>to want, in need of",चाहिने<br>chahine
"ポスト<br>mailbox; post, position",हुलाक बाकस; पद<br>hulak bakas; pad
"細い<br>thin, slender, fine",पातलो<br>patalo
ボタン<br>button,बटन<br>button
ホテル<br>hotel,होटल<br>hotel
本<br>book,किताब<br>kitab
～本<br>counter for long cylindrical things,वटा<br>wata
本棚<br>bookshelf,किताब राख्ने ठाउँ<br>kitab rakhne thaaun
"本当<br>real, true",साँच्चिकै<br>sanchikai
～枚<br>counter for flat things,वटा<br>wata
毎朝<br>every morning,हरेक बिहान<br>harek bihana
"毎月<br>every month, monthly",हरेक महिना<br>harek mahina
毎週<br>every week,हरेक हप्ता<br>harek hapta
毎日<br>every day,हरेक दिन<br>harek din
"毎年<br>every year, yearly, annually",हरेक वर्ष<br>harek barsha
毎晩<br>every night,हरेक राति<br>harek rati
"前<br>before, in front",अगाडि<br>agadi
～前<br>in front of ~,अगाडि<br>agadi
"曲る<br>to turn, to bend",मोड्नु<br>modnu
"まずい<br>terrible (in reference to food), unappetizing, unpleasant (taste)",नमिठो<br>namitho
また<br>and; furthermore,अनि; फेरि<br>ani; pheri
"まだ<br>yet, still, besides",अझै<br>ajhai
町<br>town; city,शहर<br>shahar
待つ<br>to wait,पर्खनु<br>parkhanu
"まっすぐ<br>straight (ahead), direct",सिधा<br>sidha
マッチ<br>match,सलाई<br>salai
窓<br>window,झ्याल<br>jhyal
"丸い; 円い<br>round, circular",गोलो<br>golo
万<br>ten thousand,दश हजार<br>das hajar
万年筆<br>fountain pen,फाउन्टेन पेन<br>fountain pen
磨く<br>to brush (teeth); to polish,माझ्नु<br>majhnu
右<br>right hand side,दायाँ<br>dayaan
短い<br>short (length),छोटो<br>chhoto
水<br>water,पानी<br>pani
"店<br>store, shop",पसल<br>pasal
"見せる<br>to show, to display",देखाउनु<br>dekhaunu
"道<br>road, street; way, directions",बाटो<br>bato
"三日<br>three days, third day of the month",तीन दिन; तीन गते<br>tin din; tin gate
三つ<br>three things,तीन वटा<br>tin wata
緑<br>green,हरियो<br>hariyo
"皆さん<br>all of you, everyone",सबैजना<br>sabai jana
南<br>South,दक्षिण<br>dakshin
耳<br>ear,कान<br>kaan
"見る<br>to see, to look",हेर्नु<br>hernu
"みんな<br>all, everyone, everybody",सबै<br>sabai
六日<br>six days; sixth day of month,छ दिन; छ गते<br>chha din; chha gate
"向こう<br>beyond, over there",पारी<br>pari
難しい<br>difficult,गाह्रो<br>gahro
六つ<br>six things,छ वटा<br>chha wata
村<br>village,गाउँ<br>gaun
目<br>eye(s),आँखा<br>aankha
メートル<br>meter,मिटर<br>meter
眼鏡<br>eye glasses,चश्मा<br>chashma
もう<br>already; again; more,पहिले नै; फेरि<br>pahile nai; pheri
木曜日<br>Thursday,बिहीबार<br>bihibar
もしもし<br>Hello? (used on the phone),हेलो<br>hello
"持つ<br>to hold, to carry; to possess",लिनु; राख्नु<br>linu; rakhnu
もっと<br>more,अझ<br>ajha
物<br>thing (concrete object),वस्तु<br>bastu
門<br>gate,ढोका; गेट<br>dhoka; gate
問題<br>a problem,समस्या<br>samasya
～屋<br>~ shop,पसल<br>pasal
八百屋<br>greengrocer,तरकारी पसल<br>tarkari pasal
野菜<br>vegetable,तरकारी<br>tarkari
"易しい<br>easy, plain, simple",सजिलो<br>sajilo
安い<br>inexpensive; cheap (things),सस्तो<br>sasto
休み<br>holiday; day off; absence,बिदा<br>bida
"休む<br>to rest, to have a break, to get time off",आराम गर्नु<br>aaram garnu
八つ<br>eight things,आठ वटा<br>aath wata
山<br>mountain,पहाड; हिमाल<br>pahad; himal
"やる<br>to do; to give (to pets, parents, siblings, etc.)",गर्नु; दिनु<br>garnu; dinu
"夕方<br>late afternoon (typically just before dinner time), evening",साँझ<br>saanjh
"夕飯<br>dinner, supper, evening meal",साँझको खाना<br>saanjhko khana
郵便局<br>post office,हुलाक<br>hulak
昨夜<br>last night,हिजो राति<br>hijo rati
有名<br>famous,प्रसिद्ध<br>prasiddha
雪<br>snow,हिउँ<br>hiun
"ゆっくりと<br>slowly, at ease",बिस्तारै<br>bistarai
八日<br>eight days; eighth day of the month,आठ दिन; आठ गते<br>aath din; aath gate
洋服<br>Western-style clothes,पश्चिमी लुगा<br>paschimi luga
"よく<br>frequently, often (much); well, skillfully",प्रायः; राम्रोसँग<br>prayah; ramrosanga
横<br>beside; side; width,छेउमा<br>chheuma
四日<br>four days; fourth day of the month,चार दिन; चार गते<br>char din; char gate
四つ<br>four things,चार वटा<br>char wata
呼ぶ<br>to call (one's name); to invite,बोलाउनु<br>bolaunu
読む<br>to read,पढ्नु<br>padhnu
"夜<br>evening, night",राति<br>rati
弱い<br>weak,कमजोर<br>kamjor
来月<br>next month,आउँदो महिना<br>aaundo mahina
来週<br>next week,आउँदो हप्ता<br>aaundo hapta
来年<br>next year,आउँदो वर्ष<br>aaundo barsha
ラジオ<br>radio,रेडियो<br>radio
ラジオカセ<br>radio cassette player,रेडियो क्यासेट<br>radio cassette
"りっぱ<br>splendid, fine",उत्कृष्ट<br>utkrishta
留学生<br>international student,विदेशी विद्यार्थी<br>bideshi bidyarthi
"両親<br>parents (lit., both parents)",आमाबुबा<br>aamabuwa
料理<br>cooking; cuisine,खाना पकाउने<br>khana pakaune
"旅行<br>travel, trip",यात्रा<br>yatra
"零<br>zero, nought",शून्य<br>shunya
冷蔵庫<br>refrigerator,फ्रिज<br>fridge
レコード<br>record,रेकर्ड<br>record
レストラン<br>restaurant,रेष्टुरेन्ट<br>restaurant
練習<br>(to) practice,अभ्यास<br>abhyas
廊下<br>corridor,करिडोर<br>corridor
六<br>six,छ<br>chha
"ワイシャツ<br>shirt (lit: white shirt), business shirt",सेतो सर्ट<br>seto shirt
若い<br>young,जवान<br>jawan
分かる<br>to understand,बुझ्नु<br>bujhnu
忘れる<br>to forget,बिर्सनु<br>birsanu
"私<br>I, myself",म<br>ma
渡す<br>to hand (something) over (v.t.); to get across,दिनु; हस्तान्तरण गर्नु<br>dinu; hastantaran garnu
"渡る<br>to cross over, to go across",तर्नु<br>tarnu
"悪い<br>bad, sinful; inferior",नराम्रो<br>naramro
